,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,157.11155257225036,1.126626683529578,12.26438012123108,0.117655352223816,0.01,2000,100000.0,rbf,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 100000.0, 'kernel': 'rbf', 'max_iter': 500}",0.06091340450771056,0.06067975562014354,0.06062044012100362,0.06073907111928347,0.06085770211756332,0.0607620746971409,0.00010900574598911855,47
1,4.770304250717163,0.0663196772368983,0.26136012077331544,0.05175999176858227,0.01,2000,100000.0,linear,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 100000.0, 'kernel': 'linear', 'max_iter': 500}",0.07485172004744958,0.11121656088735987,0.1173853727979121,0.06447594756509877,0.07586452339996441,0.08875882493955695,0.021322091165947705,29
2,0.33618826866149903,0.02689983510726008,0.03136038780212402,0.0002761840244024438,0.01,2000,100000.0,poly,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 100000.0, 'kernel': 'poly', 'max_iter': 500}",0.06037959667852906,0.060383178124443916,0.060383178124443916,0.060383178124443916,0.060383178124443916,0.06038246183526095,1.4325783659424608e-06,50
3,55.86561465263367,4.417469981810055,3.7643160820007324,0.02961623979693744,0.01,2000,100000.0,sigmoid,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 100000.0, 'kernel': 'sigmoid', 'max_iter': 500}",0.12538552787663107,0.125392965181802,0.125392965181802,0.12533364968266208,0.125392965181802,0.12537961462093983,2.31622735056447e-05,1
4,156.89671659469604,2.86081343611203,12.11643123626709,0.10830566728562764,0.01,2000,1.0,rbf,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1.0, 'kernel': 'rbf', 'max_iter': 500}",0.06583629893238434,0.06518773355477786,0.06429800106767898,0.06465389406251854,0.06566225754789727,0.0651276370330514,0.0005838425492463834,44
5,4.558935928344726,0.09404768709365974,0.23477983474731445,0.037398272217530774,0.01,2000,1.0,linear,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1.0, 'kernel': 'linear', 'max_iter': 500}",0.07485172004744958,0.11121656088735987,0.1173853727979121,0.06447594756509877,0.07586452339996441,0.08875882493955695,0.021322091165947705,29
6,17.497239685058595,2.9912256811237707,6.103980684280396,0.8171747233470542,0.01,2000,1.0,poly,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1.0, 'kernel': 'poly', 'max_iter': 500}",0.04786476868327402,0.11145382288391957,0.045257725843762975,0.07663562488878344,0.07200901595586927,0.07064419165112186,0.02394393775433539,39
7,62.919341278076175,5.146511844523283,3.778226375579834,0.029347689305943832,0.01,2000,1.0,sigmoid,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1.0, 'kernel': 'sigmoid', 'max_iter': 500}",0.12538552787663107,0.125392965181802,0.125392965181802,0.12533364968266208,0.125392965181802,0.12537961462093983,2.31622735056447e-05,1
8,154.4621691226959,1.430824636535954,70.95368032455444,0.813502841236095,0.01,2000,1e-05,rbf,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1e-05, 'kernel': 'rbf', 'max_iter': 500}",0.11915776986951364,0.1178598967910315,0.12141882673942701,0.11987662376178895,0.12017320125748858,0.11969726368384992,0.0011738344551443043,7
9,4.515398979187012,0.0870987995089666,0.232894229888916,0.028055632576702308,0.01,2000,1e-05,linear,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1e-05, 'kernel': 'linear', 'max_iter': 500}",0.07485172004744958,0.11121656088735987,0.1173853727979121,0.06447594756509877,0.07586452339996441,0.08875882493955695,0.021322091165947705,29
10,4.985047435760498,0.08238877156485097,0.44623146057128904,0.018317792949192026,0.01,2000,1e-05,poly,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1e-05, 'kernel': 'poly', 'max_iter': 500}",0.12413997627520759,0.06281511358918085,0.12497775668782253,0.11252150186843822,0.1251557031852423,0.10992201032117829,0.024027935944756634,10
11,60.66295056343078,3.6429088162684327,3.7603877544403077,0.018517055732337195,0.01,2000,1e-05,sigmoid,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 1e-05, 'kernel': 'sigmoid', 'max_iter': 500}",0.12538552787663107,0.125392965181802,0.125392965181802,0.12533364968266208,0.125392965181802,0.12537961462093983,2.31622735056447e-05,1
12,162.00418100357055,0.45198874577204184,19.223498392105103,0.2154483310220224,0.01,2000,auto,rbf,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 500}",0.08546856465005931,0.0810249718251379,0.08458390177353342,0.08416869327955395,0.08535500326235246,0.0841202269581274,0.0016211498826457851,36
13,4.577801036834717,0.06726964352589207,0.23622097969055175,0.030477863782769413,0.01,2000,auto,linear,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 500}",0.07485172004744958,0.11121656088735987,0.1173853727979121,0.06447594756509877,0.07586452339996441,0.08875882493955695,0.021322091165947705,29
14,5.04887204170227,0.09153532783548828,0.43054862022399903,0.029869699645807782,0.01,2000,auto,poly,500,"{'C': 0.01, 'cache_size': 2000, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 500}",0.12526690391459075,0.11014888190284121,0.1246811791921229,0.07076339047393083,0.11192834687703897,0.10855774047210494,0.01990711947761378,12
