,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Poly__degree,param_St_Scaler__copy,param_St_Scaler__with_mean,param_St_Scaler__with_std,param_mdl_clf__C,param_mdl_clf__break_ties,param_mdl_clf__cache_size,param_mdl_clf__class_weight,param_mdl_clf__decision_function_shape,param_mdl_clf__gamma,param_mdl_clf__kernel,param_mdl_clf__max_iter,param_mdl_clf__probability,param_mdl_clf__shrinking,param_mdl_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1550.9222550868988,51.968907444214565,59.32919979095459,1.8985107770527914,2,True,True,True,1.0,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-13,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-13}",0.12236517930468109,0.1169814764120814,0.12100748311735718,0.12091622558861106,0.11972987771491148,0.12020004842752845,0.0018128937385967544,25
1,1549.881172466278,52.20213478312251,52.04349417686463,4.259074528960328,2,True,True,True,1.0,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-11,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-11}",0.12236517930468109,0.1169814764120814,0.12100748311735718,0.12091622558861106,0.11972987771491148,0.12020004842752845,0.0018128937385967544,25
2,1583.1502658843995,23.20522305114476,51.77266216278076,1.1307973474448096,2,True,True,True,1.0,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-09,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-09}",0.12236517930468109,0.1169814764120814,0.12100748311735718,0.12091622558861106,0.11972987771491148,0.12020004842752845,0.0018128937385967544,25
3,1546.224693775177,46.050193411615744,47.09185004234314,1.9053612401721431,2,True,True,True,1.0,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-07,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-07}",0.12236517930468109,0.1169814764120814,0.12100748311735718,0.12091622558861106,0.11972987771491148,0.12020004842752845,0.0018128937385967544,25
4,1702.687934732437,41.342208197456365,19.666068840026856,0.6507966941218835,2,True,True,True,1.0,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-13,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-13}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
5,1644.6496331214905,16.0780556098896,20.09560294151306,0.2733870017760162,2,True,True,True,1.0,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-11,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-11}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
6,1652.6900720119477,33.53584148635237,18.294514322280882,0.6293204843433879,2,True,True,True,1.0,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-09,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-09}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
7,1645.28544216156,38.50578961459728,18.50698118209839,0.5274720804505421,2,True,True,True,1.0,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-07,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-07}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
8,1651.8715767860413,13.715922101701183,18.990884685516356,0.9877092693815853,2,True,True,True,1.0,True,2000,,ovr,10000000000.0,rbf,500,True,True,1e-13,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 10000000000.0, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-13}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
9,1646.3028112411498,29.475634403216137,18.584735918045045,0.5025546398590921,2,True,True,True,1.0,True,2000,,ovr,10000000000.0,rbf,500,True,True,1e-11,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 10000000000.0, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-11}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
