,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3343431949615479,0.12793571695025305,0.1791933536529541,0.02030215671963108,0.01,1e-05,rbf,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}",0.1,0.1,0.20334261838440112,0.1977715877437326,0.1894150417827298,0.15810584958217272,0.04764993402545544,20
1,0.14112558364868164,0.02678484448842944,0.03392515182495117,0.0037841181403969323,0.01,1e-05,linear,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9693593314763231,0.924791086350975,0.948811513463324,0.021929182078608944,2
2,1.3851162433624267,0.1357128451799979,0.15024518966674805,0.021257069775206295,0.01,0.0031622776601683794,rbf,"{'C': 0.01, 'gamma': 0.0031622776601683794, 'kernel': 'rbf'}",0.1,0.1,0.18384401114206128,0.19498607242339833,0.1615598885793872,0.14807799442896935,0.04070460489713587,21
3,0.12168726921081544,0.02131620541311699,0.02999086380004883,0.006884033224354544,0.01,0.0031622776601683794,linear,"{'C': 0.01, 'gamma': 0.0031622776601683794, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9693593314763231,0.924791086350975,0.948811513463324,0.021929182078608944,2
4,1.674189805984497,0.02508543023743703,0.2172253131866455,0.013358934687619098,0.01,1.0,rbf,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf'}",0.1,0.1,0.10306406685236769,0.20334261838440112,0.1894150417827298,0.13916434540389971,0.04693592488200749,22
5,0.12067689895629882,0.010497539912043484,0.033111190795898436,0.005828652579190212,0.01,1.0,linear,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9693593314763231,0.924791086350975,0.948811513463324,0.021929182078608944,2
6,1.6486970901489257,0.022281637616585075,0.21071085929870606,0.024883283855226767,0.01,316.22776601683796,rbf,"{'C': 0.01, 'gamma': 316.22776601683796, 'kernel': 'rbf'}",0.1,0.1,0.10306406685236769,0.10027855153203342,0.10027855153203342,0.10072423398328692,0.0011765299209996012,25
7,0.14013867378234862,0.015895798191817745,0.02932143211364746,0.004352461496343475,0.01,316.22776601683796,linear,"{'C': 0.01, 'gamma': 316.22776601683796, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9693593314763231,0.924791086350975,0.948811513463324,0.021929182078608944,2
8,1.6222604751586913,0.028799109916558194,0.21965837478637695,0.01181285670496478,0.01,100000.0,rbf,"{'C': 0.01, 'gamma': 100000.0, 'kernel': 'rbf'}",0.1,0.1,0.10306406685236769,0.10027855153203342,0.10027855153203342,0.10072423398328692,0.0011765299209996012,25
9,0.11976523399353027,0.011199083240412739,0.03321657180786133,0.006925874856329931,0.01,100000.0,linear,"{'C': 0.01, 'gamma': 100000.0, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9693593314763231,0.924791086350975,0.948811513463324,0.021929182078608944,2
10,1.048269557952881,0.03751391743026329,0.17977561950683593,0.044404318183598045,0.505,1e-05,rbf,"{'C': 0.505, 'gamma': 1e-05, 'kernel': 'rbf'}",0.75,0.7555555555555555,0.766016713091922,0.7604456824512534,0.7270194986072424,0.7518074899411947,0.013477981469768903,19
11,0.13275256156921386,0.016125361814762595,0.039397811889648436,0.01342171272250671,0.505,1e-05,linear,"{'C': 0.505, 'gamma': 1e-05, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9637883008356546,0.924791086350975,0.9476973073351903,0.020977746264099654,7
12,0.9482313632965088,0.11615968393759621,0.09435696601867676,0.007532973063954962,0.505,0.0031622776601683794,rbf,"{'C': 0.505, 'gamma': 0.0031622776601683794, 'kernel': 'rbf'}",0.9472222222222222,0.9166666666666666,0.958217270194986,0.9749303621169917,0.9331476323119777,0.9460368307025687,0.020066601045156413,17
13,0.13006505966186524,0.011107698343943736,0.03283777236938477,0.005616414719718418,0.505,0.0031622776601683794,linear,"{'C': 0.505, 'gamma': 0.0031622776601683794, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9637883008356546,0.924791086350975,0.9476973073351903,0.020977746264099654,7
14,1.7176568984985352,0.06016036505205596,0.24750857353210448,0.025612086370369935,0.505,1.0,rbf,"{'C': 0.505, 'gamma': 1.0, 'kernel': 'rbf'}",0.1,0.1,0.10306406685236769,0.20334261838440112,0.1894150417827298,0.13916434540389971,0.04693592488200749,22
15,0.12227191925048828,0.005520834234576386,0.030717182159423827,0.005656391902623148,0.505,1.0,linear,"{'C': 0.505, 'gamma': 1.0, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9637883008356546,0.924791086350975,0.9476973073351903,0.020977746264099654,7
16,1.8504598617553711,0.1390383350788538,0.2185807704925537,0.015756178013555017,0.505,316.22776601683796,rbf,"{'C': 0.505, 'gamma': 316.22776601683796, 'kernel': 'rbf'}",0.1,0.1,0.10306406685236769,0.10027855153203342,0.10027855153203342,0.10072423398328692,0.0011765299209996012,25
17,0.13703880310058594,0.010347113286057716,0.027229785919189453,0.006012546741962119,0.505,316.22776601683796,linear,"{'C': 0.505, 'gamma': 316.22776601683796, 'kernel': 'linear'}",0.9638888888888889,0.9194444444444444,0.9665738161559888,0.9637883008356546,0.924791086350975,0.9476973073351903,0.020977746264099654,7
