,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_St_Scaler__copy,param_St_Scaler__with_mean,param_St_Scaler__with_std,param_mdl_reg__C,param_mdl_reg__cache_size,param_mdl_reg__epsilon,param_mdl_reg__gamma,param_mdl_reg__kernel,param_mdl_reg__max_iter,param_mdl_reg__shrinking,param_mdl_reg__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61,1.2034568309783935,0.1894281199292828,0.06915783882141113,0.007542852138784082,True,False,True,1.0,2000,20.0,1e+100,linear,100000,False,1e-05,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': False, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 20.0, 'mdl_reg__gamma': 1e+100, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 1e-05}",0.3345116213382925,0.3718750468900891,0.35962854256002563,0.2553486733624536,0.2276971162111434,0.30981220007240085,0.05771081195765075,9
62,1.1826703548431396,0.18599967435235348,0.06655893325805665,0.006402001443412641,True,False,True,1.0,2000,20.0,1e+100,linear,100000,False,0.0001,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': False, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 20.0, 'mdl_reg__gamma': 1e+100, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 0.0001}",0.33451208742372984,0.3718749684246935,0.35962850581219397,0.2553486638972694,0.22769703197189894,0.3098122515059571,0.057710854391768505,5
63,1.2086541652679443,0.15984272171868283,0.07035646438598633,0.01534731451158536,True,False,True,1.0,2000,20.0,1e+100,linear,100000,False,0.001,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': False, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 20.0, 'mdl_reg__gamma': 1e+100, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 0.001}",0.3345174483087766,0.3718749684246935,0.35962803571861446,0.2553486847279688,0.22769602753911722,0.3098130329438341,0.05771151406577836,1
64,1.3837461471557617,0.064355231102715,0.09014458656311035,0.012944267914960792,True,True,True,1.0,2000,0.1,1.0023052380778996,linear,100000,False,1e-06,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 1.0023052380778996, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 1e-06}",0.32194810545541575,0.35590059913343897,0.3488415172393511,0.245089733809565,0.22696119820380023,0.29974823076831425,0.05355665614095074,113
65,1.3527637004852295,0.07426913150548768,0.0817492961883545,0.006042682522107241,True,True,True,1.0,2000,0.1,1.0023052380778996,linear,100000,False,1e-05,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 1.0023052380778996, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 1e-05}",0.3219481023440339,0.35590059176452604,0.3488415179525993,0.2450897274988364,0.2269611962346324,0.2997482271589256,0.053556656291917394,117
66,1.3739516258239746,0.06354945961738084,0.07335472106933594,0.0021521212067375046,True,True,True,1.0,2000,0.1,1.0023052380778996,linear,100000,False,0.0001,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 1.0023052380778996, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 0.0001}",0.3219480950711091,0.35590039392011774,0.3488415242122729,0.2450896116343837,0.226961148728813,0.29974815471333927,0.05355665191232203,121
67,1.332378101348877,0.0751311220886191,0.08634719848632813,0.012428505793195987,True,True,True,1.0,2000,0.1,1.0023052380778996,linear,100000,False,0.001,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 1.0023052380778996, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 0.001}",0.3219475799258855,0.35589912483090547,0.3488414351051976,0.2450888764407103,0.22696096534886712,0.2997475963303132,0.05355652666080975,125
68,1.382747268676758,0.0680134665687832,0.09354171752929688,0.01913577715986884,True,True,True,1.0,2000,0.1,2.157744409152647e+33,linear,100000,False,1e-06,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 2.157744409152647e+33, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 1e-06}",0.32194810545541575,0.35590059913343897,0.3488415172393511,0.245089733809565,0.22696119820380023,0.29974823076831425,0.05355665614095074,113
69,1.3851462364196778,0.10408465518436844,0.07995028495788574,0.010613625280226626,True,True,True,1.0,2000,0.1,2.157744409152647e+33,linear,100000,False,1e-05,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 2.157744409152647e+33, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 1e-05}",0.3219481023440339,0.35590059176452604,0.3488415179525993,0.2450897274988364,0.2269611962346324,0.2997482271589256,0.053556656291917394,117
70,1.348167085647583,0.06234089731330522,0.07575325965881348,0.0045760028411738285,True,True,True,1.0,2000,0.1,2.157744409152647e+33,linear,100000,False,0.0001,"{'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_reg__C': 1.0, 'mdl_reg__cache_size': 2000, 'mdl_reg__epsilon': 0.1, 'mdl_reg__gamma': 2.157744409152647e+33, 'mdl_reg__kernel': 'linear', 'mdl_reg__max_iter': 100000, 'mdl_reg__shrinking': False, 'mdl_reg__tol': 0.0001}",0.3219480950711091,0.35590039392011774,0.3488415242122729,0.2450896116343837,0.226961148728813,0.29974815471333927,0.05355665191232203,121
