,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_degree,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,9.007373666763305,0.6075365644488859,1.7940293788909911,0.17656491699044863,0.01,2000,2,100000.0,rbf,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 100000.0, 'kernel': 'rbf', 'max_iter': 10000}",-0.03952539886024975,-0.043681408125240795,-0.03702076920402764,-0.04249053530928126,-0.06989915984120487,-0.04652345426800086,0.011916703198161082,257
1,3.6640461921691894,0.18787633930849829,0.28136143684387205,0.026184134670504206,0.01,2000,2,100000.0,linear,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 100000.0, 'kernel': 'linear', 'max_iter': 10000}",0.24685940902623293,0.23490960226835,0.20669352713547118,0.2903630306338537,0.28849242475322245,0.25346359876342606,0.03213687113174504,47
2,2.0577855110168457,0.23599391369408496,0.031252288818359376,0.009883022583507251,0.01,2000,2,100000.0,poly,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 100000.0, 'kernel': 'poly', 'max_iter': 10000}",-1.1813610211557435e+18,-4.407719029417255e+17,-2.011734120879929e+16,-4.622096843426834e+17,-1.4027569244854544e+17,-4.489471284194994e+17,4.0394204578326125e+17,392
3,2.496795892715454,0.22325053506737164,0.32811427116394043,0.05321540437114965,0.01,2000,2,100000.0,sigmoid,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 100000.0, 'kernel': 'sigmoid', 'max_iter': 10000}",-0.03949380810519654,-0.04369112409596787,-0.03705699880972002,-0.042537357951423216,-0.06992927525412185,-0.0465417128432859,0.011922848244633253,277
4,6.004459953308105,0.5964964502870206,1.0597054481506347,0.04485210431480544,0.01,2000,2,1.0,rbf,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1.0, 'kernel': 'rbf', 'max_iter': 10000}",-0.038715765679266045,-0.043273577190945156,-0.03493827399935023,-0.040359511698143,-0.06895180236802023,-0.04524778618714494,0.012154229265645262,234
5,3.1852391719818116,0.2278295848896843,0.2256479263305664,0.05367493916039925,0.01,2000,2,1.0,linear,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1.0, 'kernel': 'linear', 'max_iter': 10000}",0.24685940902623293,0.23490960226835,0.20669352713547118,0.2903630306338537,0.28849242475322245,0.25346359876342606,0.03213687113174504,47
6,3.034278964996338,0.2525950784991732,0.15624585151672363,0.03562926926934475,0.01,2000,2,1.0,poly,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly', 'max_iter': 10000}",-309.1992601897228,-30.21697029443017,-88.77797303852422,-438.01443478398664,-14.16869456760311,-176.07546657485338,168.1923444331513,360
7,2.2905517578125,0.164643861732897,0.31248950958251953,0.04192607918298089,0.01,2000,2,1.0,sigmoid,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1.0, 'kernel': 'sigmoid', 'max_iter': 10000}",-0.03949380810519654,-0.04369112409596787,-0.03705699880972002,-0.042537357951423216,-0.06992927525412185,-0.0465417128432859,0.011922848244633253,277
8,4.0779945850372314,0.38766307961125607,0.593730878829956,0.07966909390204001,0.01,2000,2,1e-05,rbf,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1e-05, 'kernel': 'rbf', 'max_iter': 10000}",-0.03943389678949183,-0.043781833174827645,-0.0363541241347789,-0.04196579939407252,-0.06981274313027841,-0.04626967932468986,0.01203357612573467,246
9,2.903030014038086,0.22433942765630832,0.19374508857727052,0.02897864907833136,0.01,2000,2,1e-05,linear,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1e-05, 'kernel': 'linear', 'max_iter': 10000}",0.24685940902623293,0.23490960226835,0.20669352713547118,0.2903630306338537,0.28849242475322245,0.25346359876342606,0.03213687113174504,47
10,2.559291410446167,0.20285538907097125,0.26561660766601564,0.04074543565960352,0.01,2000,2,1e-05,poly,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1e-05, 'kernel': 'poly', 'max_iter': 10000}",-0.03947578038509336,-0.043681514890423934,-0.03698070391928865,-0.042477790752554645,-0.06990173221989959,-0.04650350443345204,0.011930797912130104,256
11,3.712382507324219,0.3024215092290668,0.549982738494873,0.05879476782138815,0.01,2000,2,1e-05,sigmoid,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 1e-05, 'kernel': 'sigmoid', 'max_iter': 10000}",-0.03946069028902155,-0.04374953344739341,-0.036603748485802834,-0.04226700180509124,-0.06987694297674318,-0.04639158340081044,0.011994946497233216,249
12,5.205178689956665,0.1926912846718966,0.6981865406036377,0.06575084251254136,0.01,2000,2,auto,rbf,10000,"{'C': 0.01, 'cache_size': 2000, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 10000}",-0.03081301270654735,-0.033925196282523995,-0.027549821499601057,-0.032208237682999075,-0.05868422937261797,-0.03663609950885789,0.011220907049872766,190
